Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
0.0000000E+0	-1.1643837E-1
1.0000000E+0	-1.1601621E-1
2.0000000E+0	-1.0799397E-1
3.0000000E+0	-1.1630659E-1
4.0000000E+0	-1.1114194E-1
5.0000000E+0	-1.1430822E-1
6.0000000E+0	-1.1293625E-1
7.0000000E+0	-1.1118869E-1
8.0000000E+0	-1.1302535E-1
9.0000000E+0	-1.0918294E-1
1.0000000E+1	-1.1156758E-1
1.1000000E+1	-1.0914010E-1
1.2000000E+1	-1.1669863E-1
1.3000000E+1	-1.1009836E-1
1.4000000E+1	-1.1345509E-1
1.5000000E+1	-1.0636605E-1
1.6000000E+1	-1.1086839E-1
1.7000000E+1	-1.1793511E-1
1.8000000E+1	-1.1771949E-1
1.9000000E+1	-1.2105331E-1
2.0000000E+1	-1.1091035E-1
2.1000000E+1	-1.2019428E-1
2.2000000E+1	-1.1460521E-1
2.3000000E+1	-1.1872625E-1
2.4000000E+1	-1.1178248E-1
2.5000000E+1	-1.0851576E-1
2.6000000E+1	-1.1141554E-1
2.7000000E+1	-1.2254004E-1
2.8000000E+1	-1.2380967E-1
2.9000000E+1	-1.2309296E-1
3.0000000E+1	-1.2600182E-1
3.1000000E+1	-1.1864313E-1
3.2000000E+1	-1.2424880E-1
3.3000000E+1	-1.1958874E-1
3.4000000E+1	-1.2357135E-1
3.5000000E+1	-1.2246072E-1
3.6000000E+1	-1.2660912E-1
3.7000000E+1	-1.2307243E-1
3.8000000E+1	-1.2506132E-1
3.9000000E+1	-1.2292475E-1
4.0000000E+1	-1.3555387E-1
4.1000000E+1	-1.3612719E-1
4.2000000E+1	-1.3005471E-1
4.3000000E+1	-1.3183194E-1
4.4000000E+1	-1.2623122E-1
